"","State","countyID","countyName","countyCode","Precincts","id","fname","mname","lname","suffix","usesuffix","party","winner","vpct","pctDecimal","inc","votes","cvotes"
"1","AK","2000","Alaska","2000","99","8639","Donald","","Trump","",FALSE,"R",TRUE,53,52.9,FALSE,130415,"130,415"
"2","AK","2000","Alaska","2000","99","1746","Hillary","","Clinton","",FALSE,"D",FALSE,38,37.7,FALSE,93007,"93,007"
"3","AK","2000","Alaska","2000","99","31708","Gary","","Johnson","",FALSE,"LB",FALSE,6,5.9,FALSE,14593,"14,593"
"4","AK","2000","Alaska","2000","99","895","Jill","","Stein","",FALSE,"GR",FALSE,2,1.8,FALSE,4445,"4,445"
"5","AL","1001","Autauga","1001","100","8639","Donald","","Trump","",FALSE,"R",TRUE,73,73.4,FALSE,18110,"18,110"
"6","AL","1001","Autauga","1001","100","1746","Hillary","","Clinton","",FALSE,"D",FALSE,24,24,FALSE,5908,"5,908"
"7","AL","1001","Autauga","1001","100","31708","Gary","","Johnson","",FALSE,"LB",FALSE,2,2.2,FALSE,538,"538"
"8","AL","1001","Autauga","1001","100","895","Jill","","Stein","",FALSE,"GR",FALSE,0,0.4,FALSE,105,"105"
"9","AL","1003","Baldwin","1003","100","8639","Donald","","Trump","",FALSE,"R",TRUE,77,77.4,FALSE,72780,"72,780"
"10","AL","1003","Baldwin","1003","100","1746","Hillary","","Clinton","",FALSE,"D",FALSE,20,19.6,FALSE,18409,"18,409"
"11","AL","1003","Baldwin","1003","100","31708","Gary","","Johnson","",FALSE,"LB",FALSE,3,2.6,FALSE,2448,"2,448"
"12","AL","1003","Baldwin","1003","100","895","Jill","","Stein","",FALSE,"GR",FALSE,0,0.5,FALSE,453,"453"
"13","AL","1005","Barbour","1005","100","8639","Donald","","Trump","",FALSE,"R",TRUE,52,52.3,FALSE,5431,"5,431"
"14","AL","1005","Barbour","1005","100","1746","Hillary","","Clinton","",FALSE,"D",FALSE,47,46.7,FALSE,4848,"4,848"
"15","AL","1005","Barbour","1005","100","31708","Gary","","Johnson","",FALSE,"LB",FALSE,1,0.9,FALSE,93,"93"
"16","AL","1005","Barbour","1005","100","895","Jill","","Stein","",FALSE,"GR",FALSE,0,0.2,FALSE,18,"18"
"17","AL","1007","Bibb","1007","100","8639","Donald","","Trump","",FALSE,"R",TRUE,77,77,FALSE,6733,"6,733"
"18","AL","1007","Bibb","1007","100","1746","Hillary","","Clinton","",FALSE,"D",FALSE,21,21.4,FALSE,1874,"1,874"
"19","AL","1007","Bibb","1007","100","31708","Gary","","Johnson","",FALSE,"LB",FALSE,1,1.4,FALSE,124,"124"
"20","AL","1007","Bibb","1007","100","895","Jill","","Stein","",FALSE,"GR",FALSE,0,0.2,FALSE,17,"17"
"21","AL","1009","Blount","1009","100","8639","Donald","","Trump","",FALSE,"R",TRUE,90,89.9,FALSE,22808,"22,808"
"22","AL","1009","Blount","1009","100","1746","Hillary","","Clinton","",FALSE,"D",FALSE,8,8.5,FALSE,2150,"2,150"
"23","AL","1009","Blount","1009","100","31708","Gary","","Johnson","",FALSE,"LB",FALSE,1,1.3,FALSE,337,"337"
"24","AL","1009","Blount","1009","100","895","Jill","","Stein","",FALSE,"GR",FALSE,0,0.4,FALSE,89,"89"
"25","AL","1011","Bullock","1011","100","1746","Hillary","","Clinton","",FALSE,"D",FALSE,75,75.1,FALSE,3530,"3,530"
"26","AL","1011","Bullock","1011","100","8639","Donald","","Trump","",FALSE,"R",TRUE,24,24.2,FALSE,1139,"1,139"
"27","AL","1011","Bullock","1011","100","31708","Gary","","Johnson","",FALSE,"LB",FALSE,0,0.5,FALSE,22,"22"
"28","AL","1011","Bullock","1011","100","895","Jill","","Stein","",FALSE,"GR",FALSE,0,0.2,FALSE,10,"10"
"29","AL","1013","Butler","1013","100","8639","Donald","","Trump","",FALSE,"R",TRUE,56,56.3,FALSE,4891,"4,891"
